"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-02 11:00","2019","04","02","11:00","-7.6","","-14.2","","60","","","","29","","27","","9.7","","97.20","","","","-16","","Snow Showers,Blowing Snow"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-02 12:00","2019","04","02","12:00","-6.9","","-16.3","","48","","","","30","","29","","19.3","","97.21","","","","-15","","Snow,Blowing Snow"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-02 13:00","2019","04","02","13:00","-5.9","","-15.1","","49","","","","31","","27","","19.3","","97.20","","","","-14","","Snow,Blowing Snow"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-02 14:00","2019","04","02","14:00","-5.2","","-16.8","","40","","","","30","","24","","19.3","","97.22","","","","-12","","Snow Showers,Blowing Snow"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-02 15:00","2019","04","02","15:00","-6.1","","-15.4","","48","","","","32","","28","","19.3","","97.26","","","","-14","","Snow Showers,Blowing Snow"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-02 16:00","2019","04","02","16:00","-5.5","","-15.8","","44","","","","30","","24","","19.3","","97.29","","","","-13","","Snow Showers,Blowing Snow"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-02 17:00","2019","04","02","17:00","-5.6","","-16.3","","43","","","","32","","26","","24.1","","97.34","","","","-13","","Snow Showers"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-02 18:00","2019","04","02","18:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-02 19:00","2019","04","02","19:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-02 20:00","2019","04","02","20:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-02 21:00","2019","04","02","21:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-02 22:00","2019","04","02","22:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-02 23:00","2019","04","02","23:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 00:00","2019","04","03","00:00"
