"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 00:00","2019","04","01","00:00","-8.5","","-10.2","","88","","0.3","","2","","14","","","","93.96","","","","-15","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 01:00","2019","04","01","01:00","-9.1","","-10.8","","87","","0.2","","1","","19","","","","93.82","","","","-17","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 02:00","2019","04","01","02:00","-9.4","","-11.1","","87","","0.3","","36","","20","","","","93.74","","","","-17","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 03:00","2019","04","01","03:00","-9.9","","-11.7","","87","","0.0","","35","","23","","","","93.69","","","","-18","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 04:00","2019","04","01","04:00","-11.3","","-13.2","","86","","0.2","","35","","29","","","","93.64","","","","-21","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 05:00","2019","04","01","05:00","-12.0","","-13.8","","86","","0.0","","34","","26","","","","93.63","","","","-22","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 06:00","2019","04","01","06:00","-12.5","","-14.5","","85","","0.0","","34","","27","","","","93.62","","","","-22","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 07:00","2019","04","01","07:00","-12.8","","-15.1","","83","","0.0","","34","","28","","","","93.58","","","","-23","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 08:00","2019","04","01","08:00","-12.7","","-15.2","","82","","0.0","","34","","34","","","","93.51","","","","-24","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 09:00","2019","04","01","09:00","-12.5","","-15.4","","79","","0.0","","34","","33","","","","93.46","","","","-23","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 10:00","2019","04","01","10:00","-11.7","","-15.2","","75","","0.0","","34","","34","","","","93.46","","","","-22","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 11:00","2019","04","01","11:00","-11.7","","-15.3","","74","","0.0","","34","","31","","","","93.40","","","","-22","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 12:00","2019","04","01","12:00","-11.6","","-15.0","","75","","0.0","","34","","38","","","","93.36","","","","-23","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 13:00","2019","04","01","13:00","-11.0","","-15.0","","72","","0.0","","34","","37","","","","93.36","","","","-22","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 14:00","2019","04","01","14:00","-10.9","","-14.8","","73","","0.0","","34","","36","","","","93.39","","","","-21","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 15:00","2019","04","01","15:00","-11.4","","-15.9","","69","","0.0","","32","","33","","","","93.40","","","","-22","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 16:00","2019","04","01","16:00","-12.0","","-16.0","","72","","0.0","","33","","37","","","","93.43","","","","-23","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 17:00","2019","04","01","17:00","-12.4","","-16.9","","69","","0.0","","32","","32","","","","93.45","","","","-23","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 18:00","2019","04","01","18:00","-13.2","","-18.3","","66","","0.0","","32","","34","","","","93.50","","","","-24","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 19:00","2019","04","01","19:00","-13.9","","-19.0","","65","","0.0","","32","","27","","","","93.57","","","","-24","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 20:00","2019","04","01","20:00","-14.4","","-19.8","","63","","0.0","","32","","28","","","","93.58","","","","-25","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 21:00","2019","04","01","21:00","-14.7","","-19.6","","66","","0.0","","32","","28","","","","93.60","","","","-25","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 22:00","2019","04","01","22:00","-15.6","","-20.3","","67","","0.0","","32","","21","","","","93.62","","","","-25","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-01 23:00","2019","04","01","23:00","-15.8","","-21.1","","64","","0.0","","32","","26","","","","93.62","","","","-26","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-02 00:00","2019","04","02","00:00","-16.0","","-22.4","","58","","0.2","","32","","27","","","","93.65","","","","-27","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-02 01:00","2019","04","02","01:00","-15.8","","-20.5","","67","","0.0","","32","","25","","","","93.70","","","","-26","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-02 02:00","2019","04","02","02:00","-15.5","","-19.2","","73","","0.0","","32","","25","","","","93.75","","","","-26","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-02 03:00","2019","04","02","03:00","-14.4","","-18.3","","73","","0.0","","32","","31","","","","93.82","","","","-25","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-02 04:00","2019","04","02","04:00","-13.8","","-17.4","","74","","0.0","","30","","22","","","","93.88","","","","-23","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-02 05:00","2019","04","02","05:00","-13.4","","-16.2","","79","","0.0","","30","","18","","","","94.01","","","","-22","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-02 06:00","2019","04","02","06:00","-13.4","","-17.5","","71","","0.0","","29","","22","","","","94.11","","","","-23","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-02 07:00","2019","04","02","07:00","-14.1","","-19.0","","66","","0.0","","28","","27","","","","94.20","","","","-24","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-02 08:00","2019","04","02","08:00","-13.5","","-18.4","","66","","0.0","","28","","26","","","","94.31","","","","-23","","NA"
"-66.80","54.80","SCHEFFERVILLE COTE-NORD","7117824","2019-04-02 09:00","2019","04","02","09:00","-12.8","","-18.2","","64","","0.0","","27","","28","","","","94.38","","","","-23","","NA"
